,Epoch,Train Loss,Val Loss,Train Murmur Loss,Val Murmur Loss
0,1,0.6225357555711855,0.6172776917279776,0.6225357555711855,0.6172776917279776
1,2,0.6163131719258893,0.6104926828610695,0.6163131719258893,0.6104926828610695
2,3,0.6097674743614996,0.6042912610506608,0.6097674743614996,0.6042912610506608
3,4,0.6028978159857664,0.5971917572668043,0.6028978159857664,0.5971917572668043
4,5,0.5957659334355274,0.5890039282330012,0.5957659334355274,0.5890039282330012
5,6,0.5885933721782224,0.581385819790727,0.5885933721782224,0.581385819790727
6,7,0.5799740758050034,0.5723700311224339,0.5799740758050034,0.5723700311224339
7,8,0.5715358878983625,0.5645148744017391,0.5715358878983625,0.5645148744017391
8,9,0.5625755597692922,0.5529783531770868,0.5625755597692922,0.5529783531770868
9,10,0.5534690074741807,0.5431637139643652,0.5534690074741807,0.5431637139643652
10,11,0.5452234753244698,0.5347051403280032,0.5452234753244698,0.5347051403280032
11,12,0.5362772159792084,0.5277880642373683,0.5362772159792084,0.5277880642373683
12,13,0.5289783087542093,0.517337358705068,0.5289783087542093,0.517337358705068
13,14,0.5218862544352747,0.5122949389077849,0.5218862544352747,0.5122949389077849
14,15,0.5178767126104941,0.5084229374335985,0.5178767126104941,0.5084229374335985
15,16,0.515037354618163,0.5053627809225503,0.515037354618163,0.5053627809225503
16,17,0.5146034922444617,0.5038393436852148,0.5146034922444617,0.5038393436852148
17,18,0.5116830518149699,0.49932110057038775,0.5116830518149699,0.49932110057038775
18,19,0.5063772715558285,0.4984222682855897,0.5063772715558285,0.4984222682855897
19,20,0.5095045809843102,0.49850330868009796,0.5095045809843102,0.49850330868009796
20,21,0.5061815904440041,0.49832002500356254,0.5061815904440041,0.49832002500356254
21,22,0.5100421946777274,0.4997205166493432,0.5100421946777274,0.4997205166493432
22,23,0.5027661227548708,0.49681959647243307,0.5027661227548708,0.49681959647243307
23,24,0.5059075951904995,0.4947373223506798,0.5059075951904995,0.4947373223506798
24,25,0.5039517473793135,0.49573701923176394,0.5039517473793135,0.49573701923176394
25,26,0.5086685967458524,0.49527609095735065,0.5086685967458524,0.49527609095735065
26,27,0.5052327413093433,0.49250166375758286,0.5052327413093433,0.49250166375758286
27,28,0.5048190308945388,0.49267099833084366,0.5048190308945388,0.49267099833084366
28,29,0.506504462887027,0.49392933764700164,0.506504462887027,0.49392933764700164
29,30,0.50664040546554,0.49668621824959575,0.50664040546554,0.49668621824959575
30,31,0.5043428580338825,0.49389475008188666,0.5043428580338825,0.49389475008188666
31,32,0.5039938669209972,0.49237440097129953,0.5039938669209972,0.49237440097129953
32,33,0.5041955378229159,0.4948306731248306,0.5041955378229159,0.4948306731248306
33,34,0.5047341248835244,0.49621794668294616,0.5047341248835244,0.49621794668294616
34,35,0.5027519859829728,0.49191343562077666,0.5027519859829728,0.49191343562077666
35,36,0.5074344986522651,0.49282475588685376,0.5074344986522651,0.49282475588685376
36,37,0.5013477442610415,0.494837162757324,0.5013477442610415,0.494837162757324
37,38,0.5054899318666664,0.489369156502061,0.5054899318666664,0.489369156502061
38,39,0.5024637456631963,0.48834911938441,0.5024637456631963,0.48834911938441
39,40,0.5044645677596511,0.4937598272905511,0.5044645677596511,0.4937598272905511
40,41,0.5046624554597536,0.49403255884930236,0.5046624554597536,0.49403255884930236
41,42,0.5065573707379101,0.4943602789256532,0.5065573707379101,0.4943602789256532
42,43,0.5037371356120375,0.49437091704142294,0.5037371356120375,0.49437091704142294
43,44,0.502221826322159,0.4898009282047466,0.502221826322159,0.4898009282047466
44,45,0.4997083667030797,0.4916738073704606,0.4997083667030797,0.4916738073704606
45,46,0.5012483529734204,0.48577825962486915,0.5012483529734204,0.48577825962486915
46,47,0.5012636904517919,0.4932040217569319,0.5012636904517919,0.4932040217569319
47,48,0.5030310872307286,0.4971126875634921,0.5030310872307286,0.4971126875634921
48,49,0.5043014891885357,0.4885173607680757,0.5043014891885357,0.4885173607680757
49,50,0.5044094229757096,0.4929081338947102,0.5044094229757096,0.4929081338947102
50,51,0.5015916844724096,0.48743753514047394,0.5015916844724096,0.48743753514047394
51,52,0.5013244990413517,0.49535762182736803,0.5013244990413517,0.49535762182736803
52,53,0.5019142454293836,0.4923630851810261,0.5019142454293836,0.4923630851810261
53,54,0.5020821403220945,0.48873728897611973,0.5020821403220945,0.48873728897611973
54,55,0.5026591824880307,0.492598567675736,0.5026591824880307,0.492598567675736
55,56,0.4999853427148431,0.4880774110050525,0.4999853427148431,0.4880774110050525
56,57,0.5034050780866794,0.48810587000038663,0.5034050780866794,0.48810587000038663
