,epx_num,lr,pos_weight,mix_up_bool,const_max,optim_threshold_stu,optim_threshold_tch,Val_WMA_stu,Val_WMA_tch,Test_WMA_stu,Test_WMA_tch
0,1,0.001,3.0,False,1.0,0.44,0.0,0.5012106537530266,1.0,0.7601078167115903,0.7196765498652291
1,2,0.001,3.0,True,1.0,0.4,0.6,0.5157384987893463,0.6818181818181818,0.7493261455525606,0.7951482479784366
2,3,0.001,3.0,False,2.0,0.42,0.0,0.5230024213075061,0.6818181818181818,0.7789757412398922,0.7628032345013477
3,4,0.001,3.0,True,2.0,0.42,0.0,0.5205811138014528,1.0,0.7466307277628033,0.7520215633423181
4,5,0.001,4.0,False,1.0,0.85,0.0,0.5084745762711864,1.0,0.7277628032345014,0.7412398921832885
5,6,0.001,4.0,True,1.0,0.43,0.0,0.513317191283293,1.0,0.7924528301886793,0.7304582210242587
6,7,0.001,4.0,False,2.0,0.37,0.51,0.47699757869249393,0.5692307692307692,0.7358490566037735,0.7169811320754716
7,8,0.001,4.0,True,2.0,0.8200000000000001,0.0,0.5108958837772397,1.0,0.7358490566037735,0.7520215633423181
8,9,0.001,5.0,False,1.0,1.0,0.0,0.5205811138014528,1.0,0.7654986522911051,0.7196765498652291
9,10,0.001,5.0,True,1.0,0.25,0.0,0.4745762711864407,1.0,0.7250673854447439,0.6900269541778976
10,11,0.001,5.0,False,2.0,0.5700000000000001,0.0,0.5302663438256658,1.0,0.7142857142857143,0.7115902964959568
11,12,0.001,5.0,True,2.0,0.48,0.0,0.5012106537530266,1.0,0.7439353099730458,0.7277628032345014
12,13,0.0005,3.0,False,1.0,0.43,0.0,0.46731234866828086,1.0,0.7169811320754716,0.6765498652291105
13,14,0.0005,3.0,True,1.0,0.66,0.0,0.5472154963680388,1.0,0.7547169811320755,0.7520215633423181
14,15,0.0005,3.0,False,2.0,0.24,0.0,0.5108958837772397,1.0,0.7277628032345014,0.7439353099730458
15,16,0.0005,3.0,True,2.0,0.76,0.0,0.49878934624697335,1.0,0.7493261455525606,0.7223719676549866
16,17,0.0005,4.0,False,1.0,0.8,0.0,0.5157384987893463,1.0,0.7547169811320755,0.6738544474393531
17,18,0.0005,4.0,True,1.0,0.17,0.0,0.5181598062953995,1.0,0.7169811320754716,0.7304582210242587
18,19,0.0005,4.0,False,2.0,0.24,0.0,0.5351089588377724,1.0,0.77088948787062,0.7520215633423181
19,20,0.0005,4.0,True,2.0,0.16,0.0,0.4721549636803874,1.0,0.7277628032345014,0.7008086253369272
20,21,0.0005,5.0,False,1.0,0.31,0.0,0.44794188861985473,1.0,0.7547169811320755,0.6226415094339622
21,22,0.0005,5.0,True,1.0,0.77,0.0,0.513317191283293,1.0,0.7250673854447439,0.7169811320754716
22,23,0.0005,5.0,False,2.0,0.84,0.0,0.5084745762711864,1.0,0.7088948787061995,0.7304582210242587
23,24,0.0005,5.0,True,2.0,0.97,0.0,0.4794188861985472,1.0,0.7115902964959568,0.7142857142857143
24,25,0.0001,3.0,False,1.0,0.6900000000000001,0.0,0.46731234866828086,1.0,0.706199460916442,0.6711590296495957
25,26,0.0001,3.0,True,1.0,0.06,0.0,0.4794188861985472,1.0,0.6765498652291105,0.706199460916442
26,27,0.0001,3.0,False,2.0,0.87,0.5,0.4116222760290557,0.5454545454545454,0.6873315363881402,0.6792452830188679
27,28,0.0001,3.0,True,2.0,0.16,0.0,0.44794188861985473,1.0,0.6765498652291105,0.6630727762803235
28,29,0.0001,4.0,False,1.0,0.18,0.0,0.4576271186440678,0.6,0.6846361185983828,0.6549865229110512
29,30,0.0001,4.0,True,1.0,0.16,0.0,0.4552058111380145,1.0,0.6657681940700808,0.660377358490566
30,31,0.0001,4.0,False,2.0,0.24,0.0,0.4600484261501211,1.0,0.6819407008086253,0.6738544474393531
31,32,0.0001,4.0,True,2.0,0.51,0.0,0.44794188861985473,1.0,0.692722371967655,0.6442048517520216
32,33,0.0001,5.0,False,1.0,0.53,0.0,0.4576271186440678,0.6,0.6873315363881402,0.6361185983827493
33,34,0.0001,5.0,True,1.0,0.66,0.0,0.46973365617433416,1.0,0.6846361185983828,0.6442048517520216
34,35,0.0001,5.0,False,2.0,0.06,0.0,0.4430992736077482,1.0,0.6630727762803235,0.6522911051212938
35,36,0.0001,5.0,True,2.0,0.21,0.0,0.45278450363196127,1.0,0.6819407008086253,0.6361185983827493
